DBN,Printed_Name,BUS,SUBWAY
24Q236,International High School for Health Sciences,Q29  Q58,M  R to Grand Av - Newtown
25Q241,Queens High School for Language Studies,Q12  Q13  Q15  Q16  Q17  Q19  Q20A  Q25  Q26  Q27  Q28  Q34  Q48  Q50  Q65  Q66,7 to Flushing - Main St
25Q240,Veritas Academy,Q12  Q13  Q15  Q16  Q17  Q19  Q20A  Q25  Q26  Q27  Q28  Q34  Q48  Q50  Q65  Q66,7 to Flushing - Main St
03M485,Fiorello H. LaGuaia High School of Music & Art and Performing Arts,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
31R605,Staten Island Technical High School,S57  S74  S76  S78  S79-SBS,SIR to New Dorp
02M475,Stuyvesant High School,M20  M22  M5,1  2  3  A  C to Chambers St;  R to City Hall;  E to World Trade Center
05M692,High School for Mathematics  Science and Engineering at City College,BX19  BX33  M10  M100  M101  M11  M2  M3  M4  M5,B  C to 135 St;  1 to 137 St - City College;  A  D to 145 St
10X696,High School of American Studies at Lehman College,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34,B  D to Bedford Park Blvd;  4 to Bedford Park Blvd - Lehman College
13K430,Brooklyn Technical High School,B103  B25  B38  B41  B45  B52  B54  B57  B63  B65  B69,D  N to Atlantic Av - Barclays Ctr;  B  Q  R to DeKalb Av;  G to Fulton St;  A to Hoyt - Schermerhorn Sts;  C to Lafayette Av;  2  3  4  5 to Nevins St
10X445,Bronx High School of Science,BX1  BX10  BX22  BX26  BX28  BX3,4  B  D to Bedford Park Blvd
14K449,The Brooklyn Latin School,B15  B43  B46  B47  B48  B57  B60  Q54,J  M to Flushing Av;  L to Montrose Av
28Q687,Queens High School for the Sciences at York College,Q1  Q110  Q111  Q112  Q113  Q17  Q20A  Q24  Q3  Q30  Q36  Q4  Q40  Q41  Q42  Q5  Q54  Q56  Q6  Q60  Q65  Q8  Q83  Q84  Q85  Q9,E  J  Z to Jamaica Center - Parsons/Archer
